,Variables,Euclidean distance
74,AC_AMNT_3,1.613097906112671
21,PA_ST_1,1.627253532409668
26,WC_MN_M02_0,1.6314774751663208
77,TC_LT_2,1.6347771883010864
87,TC_GHW_H_1,1.637385606765747
10,PA_SWD_S_14,1.6481237411499023
75,AC_DRUNK_1,1.6649936437606812
29,WC_MN_M04_0,1.6738834381103516
11,PA_SWD_N_7,1.68366539478302
93,AS_DG_YR_1,1.6933624744415283
78,TC_DAYS_2,1.6954166889190674
19,PA_PE_FQ_1,1.7099497318267822
31,WC_MN_M05_0,1.711751937866211
95,INT_WD_MM_4,1.7375625371932983
100,INT_WK_MM_6,1.7522509098052979
104,AGE_18,1.7542437314987183
96,INT_WD_MM_5,1.7561928033828735
2,PR_HT_5,1.7682663202285767
81,TC_AMNT_1,1.789172649383545
33,WC_MN_M06_0,1.7900081872940063
89,TC_GHW_QT_1,1.7968910932540894
9,PA_TOT_2,1.7996028661727905
97,INT_WK_MM_8,1.8001331090927124
12,PA_SWK_S_11,1.8024078607559204
76,AC_DRUNK_2,1.813409686088562
106,E_SES_4,1.8277817964553833
107,E_SES_5,1.8313957452774048
145,E_BORN_F_10,1.842812180519104
99,INT_WK_MM_7,1.846832275390625
92,AS_DG_YR_2,1.8515782356262207
8,F_MILK_1,1.8913471698760986
101,INT_WK_MM_9,1.897215723991394
38,WC_MN_M08_1,1.9019209146499634
103,AGE_17,1.909546136856079
98,INT_WK_MM_10,1.9223542213439941
102,AGE_16,1.9249826669692993
35,WC_MN_M07_0,1.9316335916519165
80,TC_DAGE_2,1.9425400495529175
160,SleepAvg_WK_4,1.946239948272705
138,E_EDU_F_1,1.948182225227356
105,E_S_RCRD_4,1.9555854797363281
108,A_FM_1,1.9573105573654175
32,WC_MN_M05_1,1.9677413702011108
40,WC_MN_M09_1,1.969718337059021
30,WC_MN_M04_1,1.9744431972503662
0,PR_HT_4,2.029268503189087
94,RH_DG_LT_2,2.037116765975952
111,E_FM_SF_2_9999,2.0500409603118896
36,WC_MN_M07_1,2.0856833457946777
42,WC_MN_M10_1,2.101574420928955
112,E_FM_SF_2_2,2.1025876998901367
115,E_FM_SM_4_9999,2.118171453475952
109,E_FM_F_1_1,2.1227309703826904
5,F_SODA_1,2.1335015296936035
146,E_BORN_F_8,2.1370224952697754
118,E_FM_GF_5_5,2.141627073287964
37,WC_MN_M08_0,2.1424975395202637
151,E_EDU_M_1,2.145460844039917
88,TC_GHW_H_4,2.1595821380615234
131,E_LT_M_2,2.163299798965454
119,E_FM_GM_6_6,2.169795513153076
120,E_FM_OBS_7_7,2.205564022064209
113,E_FM_M_3_3,2.2199785709381104
4,F_FRUIT_1,2.2264957427978516
121,E_FM_OBS_7_9999,2.2295026779174805
34,WC_MN_M06_1,2.231198310852051
123,E_FM_YBS_8_8,2.2338593006134033
127,E_LT_F_2,2.2429916858673096
110,E_FM_F_1_9999,2.2521440982818604
1,PR_HT_3,2.2535767555236816
116,E_FM_SM_4_4,2.262808084487915
124,E_FM_NO_9_9999,2.294952154159546
159,SleepAvg_WK_5,2.296849250793457
122,E_FM_YBS_8_9999,2.301729679107666
3,F_BR_1,2.3123250007629395
129,E_LT_SF_1,2.3188633918762207
117,E_FM_GF_5_9999,2.3292109966278076
114,E_FM_M_3_9999,2.396979570388794
128,E_LT_SF_2,2.4269063472747803
90,TC_GHW_QT_4,2.5058531761169434
126,E_LT_F_9999,2.514819622039795
39,WC_MN_M09_0,2.5196754932403564
141,E_KRN_F_2,2.533646821975708
125,E_LT_F_1,2.563297748565674
158,E_BORN_M_3,2.5745763778686523
153,E_KRN_M_2,2.644244432449341
130,E_LT_M_9999,2.644270658493042
137,E_EDU_F_9999,2.670369863510132
157,E_BORN_M_8,2.704333782196045
144,E_BORN_F_2,2.7489819526672363
133,E_LT_SM_2,2.77461838722229
142,E_BORN_F_6,2.8236169815063477
140,E_KRN_F_9999,2.913740873336792
150,E_EDU_M_9999,2.9553139209747314
135,E_EDU_F_2,3.0350372791290283
41,WC_MN_M10_0,3.0528249740600586
136,E_EDU_F_4,3.1113295555114746
154,E_BORN_M_4,3.1149497032165527
155,E_BORN_M_2,3.1883533000946045
152,E_KRN_M_9999,3.213073968887329
132,E_LT_SM_9999,3.271639108657837
143,E_BORN_F_1,3.3707315921783447
156,E_BORN_M_13,3.39837908744812
134,E_EDU_F_3,3.7247440814971924
149,E_EDU_M_4,3.8945295810699463
79,TC_DAGE_1,4.163773536682129
148,E_EDU_M_2,4.2154765129089355
139,E_KRN_F_1,4.320137977600098
147,E_EDU_M_3,5.318130970001221
